courseSummary,courses,departments,id,name,overall_rating,recent_reviews,total_reviews,would_take_again_percent
"{'teaching': 'Three tests with an optional final Also adjusts grading scale where a 87 5% or higher is A iClicker questions can be a guessing game at times, and will give pop quizzes when no one shows up. The worst part of the class is his clicker questions, which are a crapshoot.', 'exams': ""Boring I'd recommed sitting near the front to hear him His clicker questions are challenging, but you get points for picking an answer I made high grades on all of his tests bc the practice exams were almost identical to the actual tests. Can get A if you work for it 6 homeworks 2 quizzes 3 test that last years are posted online and extremely similar Very doable class, although he lectures over so much that is not on the test."", 'grading': None, 'workload': None, 'confidence': 0.6799999999999999}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 28, 'avg_rating': 3.3}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 23, 'avg_rating': 3.3}, {'course_id': 'AGRICULTURE105', 'course_name': 'Course Title', 'reviews_count': 3, 'avg_rating': 3.3}, {'course_id': 'AGEC430', 'course_name': 'Macroeconomics of Agriculture', 'reviews_count': 2, 'avg_rating': 3.3}]","['AGEC', 'AGRICULTURE']",VGVhY2hlci0xOTQ0Mzkz,John Penson,3.3,"[{'id': 'UmF0aW5nLTMxNDg3MDI4', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""Boring. I'd recommed sitting near the front to hear him. His clicker questions are challenging, but you get points for picking an answer. I made high grades on all of his tests bc the practice exams were almost identical to the actual tests. I didn't think his class was hard. Basic college class. Show to class! Optional Final, I didn't take it!."", 'overall_rating': 3.7, 'would_take_again': True, 'grade': 'A+', 'review_date': '2019-03-27T15:37:29', 'tags': ['Respected', ""Skip class? You won't pass."", 'Beware of pop quizzes']}, {'id': 'UmF0aW5nLTMwODI5OTY4', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""incredibly boring class, he reads off powerpoints and is very hard to follow, he gives clicker questions everyday so attendance is mandatory. Beware when he says &quot;there won't be any clicker questions today&quot; this means that theirs a pop quiz! test are open ended but make sure to take the practice exam and practice questions, the textbook is a must"", 'overall_rating': 2.7, 'would_take_again': False, 'grade': 'B', 'review_date': '2018-12-01T00:14:21', 'tags': []}, {'id': 'UmF0aW5nLTMwODE4MTgz', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""Dr. Penson is a great guy. He is super intelligent when it comes to economics, however, I feel as though he is too smart to teach the introductory class. Requires a lot of thinking. His lectures are fast paced. Get out early a lot, but don't skip class. Does clicker questions for participation grade. Optional final."", 'overall_rating': 3.3, 'would_take_again': True, 'grade': 'B-', 'review_date': '2018-11-29T17:47:52', 'tags': [""Skip class? You won't pass."", 'GRADED BY FEW THINGS']}]",23,78.9
"{'teaching': ""The BEST teacher for AGEC - 10% extra credit for attending class - like no homework - just gotta study for quizzes and tests which aren't difficult if you put a little time in Caring professor Super funny guy Super funny lectures Down to earth My favorite professor so far to be honest He is tough but fair You'll be fine if you go to class and the help sessions A very hard class but there is lots of help available Probably the best professor I have had so far Cares about"", 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.9275}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 21, 'avg_rating': 4.0}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 19, 'avg_rating': 4.0}, {'course_id': 'ECON105', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.0}]","['AGEC', 'ECON']",VGVhY2hlci0yNTQ3MzQ2,Oral Capps,4.0,"[{'id': 'UmF0aW5nLTQyMzUyNzQ2', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'Dr. Capps is AMAZING!! He is a very caring guy who wants his students to succeed. The lectures are extremely long, but he is funny and makes them enjoyable. You have to study, there is not getting around that, but id you study the book chapter questions, AQs, and EQs you will be well prepared for exams. ', 'overall_rating': 4.3, 'would_take_again': True, 'grade': 'A+', 'review_date': '2025-12-19T23:12:15', 'tags': ['Participation matters', 'Caring', 'Lecture heavy']}, {'id': 'UmF0aW5nLTQyMjk3MDU3', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'This professor was not one of my top professors. His lectures are an hour and 15 minutes long, he reads off the slides half the time and the other half he goes on random tangents and stories about his life or the most random things. The very first day of class he told us he voted for Trump and continued to talk about it for the rest of the semester', 'overall_rating': 1.0, 'would_take_again': None, 'grade': 'D+', 'review_date': '2025-12-17T00:37:06', 'tags': ['EXTRA CREDIT', 'Lecture heavy', 'Test heavy']}, {'id': 'UmF0aW5nLTQyMTQxMDIx', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'Capps is a great person and made the extremely heavy lectures bearable. He gave extra credit that is basically worth a letter grade. However, the 30-question quizzes and 70-question tests are extremely difficult to study for. The final is cumulative and could be over any of the 290 plus questions from the tests and quizzes. Take online for an A ', 'overall_rating': 3.3, 'would_take_again': None, 'grade': 'B', 'review_date': '2025-12-10T05:12:17', 'tags': ['Tough grader', 'Lecture heavy', 'Test heavy']}]",19,76.5
"{'teaching': ""Dr Mjelde is a good professor Hard material but easier than some of the other professors for 105 If you go into his office and ask for help, he is very helpful Tests are difficult Beware if you take him. Do this class somewhere else whether it's Blinn or a different prof at TAMU Good luck Worst prof I have ever had at Texas A&amp;M."", 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.8825000000000001}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 64, 'avg_rating': 1.5}, {'course_id': 'AGEC317', 'course_name': 'Economic Analysis for Agribusiness Management', 'reviews_count': 29, 'avg_rating': 1.5}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 17, 'avg_rating': 1.5}, {'course_id': 'AGEC350', 'course_name': 'Environmental and Natural Resource Economics', 'reviews_count': 12, 'avg_rating': 1.5}, {'course_id': 'AGECO105', 'course_name': 'Course Title', 'reviews_count': 2, 'avg_rating': 1.5}]","['AGEC', 'AGECO']",VGVhY2hlci0xNzEwNjU5,James Mjelde,1.5,"[{'id': 'UmF0aW5nLTM1OTc1ODQ1', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'Dr. Mjelde is a good professor. Hard material. but easier than some of the other professors for 105. If you go into his office and ask for help, he is very helpful. Tests are difficult.', 'overall_rating': 3.3, 'would_take_again': True, 'grade': 'B', 'review_date': '2022-03-25T16:18:18', 'tags': ['Lots of homework', 'Accessible outside class']}, {'id': 'UmF0aW5nLTM1ODg3ODUy', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'Do not take this professor.', 'overall_rating': 1.0, 'would_take_again': False, 'grade': '', 'review_date': '2022-02-28T02:44:00', 'tags': ['Lots of homework', ""Skip class? You won't pass."", 'Test heavy']}, {'id': 'UmF0aW5nLTM0ODgwNTQ5', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""Beware if you take him. I took him spring of 2021 online and it was a battle. All his lectures were pre-recorded and his lecturing style was very boring and EXTREMELY difficult to understand. He gave us weekly homework, quizzes, 3 test, and a final. Do this class somewhere else whether it's Blinn or a different prof at TAMU. Good luck..."", 'overall_rating': 1.3, 'would_take_again': False, 'grade': 'C', 'review_date': '2021-06-01T18:49:32', 'tags': ['Get ready to read', 'Lecture heavy', 'Tough grader']}]",17,24.0
"{'teaching': None, 'exams': ""I didn't like economics at all in high school, so it's saying something that I liked going to his class Tests are not bad so long as you study the old tests, and there are a lot of opportunities for extra credit. Only downside is he rants ALOT-kinda a bore."", 'grading': None, 'workload': None, 'confidence': 0.6125}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 15, 'avg_rating': 4.3}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 14, 'avg_rating': 4.3}]",['AGEC'],VGVhY2hlci00MzIyMzE=,O Capps,4.3,"[{'id': 'UmF0aW5nLTM1Nzc2NDQz', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'Dr Capps is a really knowledgeable professor who knows and cares what he is teaching about. The class is pretty easy especially if you took Econ in high school. Good amount of extra credit is offered as long as you show up to class for it. Would definitely recommend this prof', 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A', 'review_date': '2022-01-20T05:57:31', 'tags': ['Respected', 'Amazing lectures', 'EXTRA CREDIT']}, {'id': 'UmF0aW5nLTM0MDQ3ODI4', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""I took this class in an all-online format, and it was alright. The EQ's (extra credit) are a real boost for your grade and I appreciated that Dr. Capps offered it. My only complaint is that the lectures were not interesting to me and he talked about politics a lot. Also, since Dr. Capps wrote the textbook, it is necessary for this course."", 'overall_rating': 3.0, 'would_take_again': True, 'grade': 'A', 'review_date': '2020-12-12T21:52:09', 'tags': ['Get ready to read', 'Clear grading criteria', 'Lecture heavy']}, {'id': 'UmF0aW5nLTMyNTA2Mzgy', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""I took regular economics in HS and had no basically background. Even though his tests are long and therefore require quite lengthy preparation(70 questions), his extra credit REALLY helps boost your grade so make sure you're in class every time. Go to AQ (quiz) help sessions! helps so much!!!! Only downside is he rants ALOT-kinda a bore."", 'overall_rating': 3.7, 'would_take_again': True, 'grade': '', 'review_date': '2019-12-03T02:57:18', 'tags': [""Skip class? You won't pass."", 'Caring', 'EXTRA CREDIT']}]",14,87.5
"{'teaching': 'No exams, only group homework assignments If you pay attention in class and get a good group then this is a really easy course Only one 4-5 question assignment every week She makes economics easy to understand This class made me change my major She is a very sweet lady and is all willing to help I went to office hours almost every week and still failed every test.', 'exams': None, 'grading': None, 'workload': 'She is so sweet, and is really understanding The class is tough, and I did not get the best grades on the exams. The curve at the end brought me up two letter grades. As long as you somewhat understand and ask questions you will pass A truly great professor.', 'confidence': 0.6125}","[{'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 13, 'avg_rating': 3.5}, {'course_id': None, 'course_name': 'Course Title', 'reviews_count': 13, 'avg_rating': 3.5}]",['AGEC'],VGVhY2hlci0yNDczMTk3,Anastasia Shcherbakova,3.5,"[{'id': 'UmF0aW5nLTM2NDM3OTYy', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""She really is a nice lady, but I couldn't tell you a single thing from that class. I showed up to every class and was constantly confused. Everyone in the AGEC 105 GroupMe from that class was also always very confused. She would assign projects on stuff she didn't even teach. Often had to move assignments back because of so many student emails."", 'overall_rating': 2.0, 'would_take_again': None, 'grade': 'C', 'review_date': '2022-06-04T06:28:45', 'tags': ['Tough grader', 'Group projects', 'Graded by few things']}, {'id': 'UmF0aW5nLTM2MTc3Njc2', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'Professor Shcherbakova is a nice lady, but at times lectures or assignments can be confusing. Taking econ before this class would definitely be beneficial. Not necessarily a hard class overall, with only a weekly assignment and 2 exams being the material consisted in it. Exams were challenging though. ', 'overall_rating': 3.7, 'would_take_again': True, 'grade': 'B', 'review_date': '2022-04-28T03:28:47', 'tags': ['Caring']}, {'id': 'UmF0aW5nLTM1NzgzNDM5', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'No exams, only group homework assignments. If you pay attention in class and get a good group then this is a really easy course. Only one 4-5 question assignment every week. She makes economics easy to understand.', 'overall_rating': 4.7, 'would_take_again': True, 'grade': 'A', 'review_date': '2022-01-21T23:25:41', 'tags': [""Skip class? You won't pass."", 'Graded by few things']}]",13,75.0
"{'teaching': None, 'exams': None, 'grading': None, 'workload': ""The tests are just the questions cycled out from quizzes Grades pretty generously on HW Gives lots of extra credit in beginning only This class is difficult content but if you apply yourself you could get an A easily Open note exams There isn't useful lectures, they're just automatic voice reading and it's hard to understand I loved this prof."", 'confidence': 0.77}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 12, 'avg_rating': 3.5}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 12, 'avg_rating': 3.5}]",['AGEC'],VGVhY2hlci0yMTQxMzk4,Ariun Ishdorj,3.5,"[{'id': 'UmF0aW5nLTM4NjA4NzM3', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""The tests are just the questions cycled out from quizzes. Grades pretty generously on HW. Gives lots of extra credit in beginning only. This class is difficult content but if you apply yourself you could get an A easily. Open note exams! There isn't useful lectures, they're just automatic voice reading and it's hard to understand. "", 'overall_rating': 2.7, 'would_take_again': None, 'grade': 'B+', 'review_date': '2023-12-11T16:21:53', 'tags': ['EXTRA CREDIT']}, {'id': 'UmF0aW5nLTM2ODI1NDI2', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'I loved this prof! I took the online AGEC 105 and if you are not an economics person I definitely recommend this! The textbook is helpful and this class maybe took 20 minutes to complete each week. Highly recommend!', 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A', 'review_date': '2022-11-14T04:26:01', 'tags': ['EXTRA CREDIT', 'Gives good feedback']}, {'id': 'UmF0aW5nLTM2NzI0ODE5', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'Dr. Ishdorj was my thesis advisor as well as professor. She is, by far, the single most important influence I have had in my academic career and continues to influence me today. In the classroom, she set a standard of excellence, made students understand they could achieve it and communicated a passion for and commitment to the field of economics. ', 'overall_rating': 4.0, 'would_take_again': True, 'grade': 'A', 'review_date': '2022-10-21T23:13:50', 'tags': ['Inspirational', 'Caring', 'Respected']}]",12,66.7
"{'teaching': ""Dr Zhang was awesome She makes the class super easy and simple Sometimes it's hard to pay attention in lecture, but you do not need the book Definitely try to take her-- even if you're not in honors you might be able to get in. She will go out of her way to help you."", 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.725}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 14, 'avg_rating': 4.5}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 10, 'avg_rating': 4.5}, {'course_id': 'AGRICULTURE105', 'course_name': 'Course Title', 'reviews_count': 2, 'avg_rating': 4.5}, {'course_id': 'AGRICULTURE200', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.5}, {'course_id': 'ECON410', 'course_name': 'Macroeconomic Theory', 'reviews_count': 1, 'avg_rating': 4.5}, {'course_id': 'AGRICULTURE505', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.5}, {'course_id': 'HONORSAGEC105', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.5}]","['AGEC', 'AGRICULTURE', 'ECON', 'HONORSAGEC']",VGVhY2hlci0xOTYzMDU3,Yu Zhang,4.5,"[{'id': 'UmF0aW5nLTMwOTg3MjY5', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'Prof was great, she made the class really easy to understand through her review quizzes which are just like the tests. Pay attention in class you will make an A pretty easily.', 'overall_rating': 4.7, 'would_take_again': True, 'grade': 'A+', 'review_date': '2018-12-12T13:43:36', 'tags': ['Respected', ""Skip class? You won't pass.""]}, {'id': 'UmF0aW5nLTMwODY1NDA4', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""Dr. Zhang was awesome! She makes the class super easy and simple. Sometimes it's hard to pay attention in lecture, but you do not need the book. Definitely try to take her-- even if you're not in honors you might be able to get in!"", 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A+', 'review_date': '2018-12-04T19:13:42', 'tags': ['Gives good feedback', 'ACCESSIBLE OUTSIDE CLASS', 'Caring']}, {'id': 'UmF0aW5nLTI5NzAwNDU2', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""She is a great prof! I was not very good at econ but she made it to where I understood it. She will go out of her way to help you. She gives RQ's often to check attendance but they are free points if you come to class. Also, her reviews are almost identical to her exams. Take this professor, come to class, and you will more than likely make an A"", 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A', 'review_date': '2018-03-26T22:36:06', 'tags': ['Respected', 'ACCESSIBLE OUTSIDE CLASS', 'Caring']}]",10,100.0
"{'teaching': ""317 - This is the worst professor and class I have ever been involved with He does not care about teaching or his student's performances by any means He expects the class to know how to do everything Neither he nor the TAs will help with anything and will look down on you if you ask a question He should be fired immediately AGEC 317 - one of the hardest classes I've taken and it's because he simply doesn't teach."", 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.635}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 6, 'avg_rating': 1.3}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 6, 'avg_rating': 1.3}]",['AGEC'],VGVhY2hlci0yMDI1MDQ4,Jim Mjelde,1.3,"[{'id': 'UmF0aW5nLTQwNzAzODgw', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""317 - This is the worst professor and class I have ever been involved with. He does not care about teaching or his student's performances by any means. He expects the class to know how to do everything. Neither he nor the TAs will help with anything and will look down on you if you ask a question. He should be fired immediately!"", 'overall_rating': 1.0, 'would_take_again': None, 'grade': 'C', 'review_date': '2025-02-24T22:59:01', 'tags': ['Tough grader']}, {'id': 'UmF0aW5nLTQwNjYyNjMy', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""AGEC 317 - one of the hardest classes I've taken and it's because he simply doesn't teach. I attended the lectures but he skips over half the material and doesn't explain the other half. His notes are also dispersed so it's really difficult to figure out what's going on. The TAs aren't that helpful either and they grade really hard. "", 'overall_rating': 1.0, 'would_take_again': None, 'grade': '', 'review_date': '2025-02-11T23:35:07', 'tags': ['Lots of homework']}, {'id': 'UmF0aW5nLTM5NzQ3MDY5', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""He is the rudest professor I have ever met in my life, he also made the class extremely hard for no reason. He was extremely rude to his TA's for no reason even though he basically made them teach the entire class. He would only lecture once a week and refused to wear a microphone so no one in the room could hear him. "", 'overall_rating': 1.0, 'would_take_again': None, 'grade': 'B-', 'review_date': '2024-09-17T13:04:44', 'tags': ['Tough grader', 'Lecture heavy', 'Test heavy']}]",6,0.0
"{'teaching': ""AGEC105 is one of the most infuriating classes I've taken. Prof Dharmasena is very kind and will answer questions without sounding condescending. He does not use slides, so take good notes."", 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.59}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 14, 'avg_rating': 4.1}, {'course_id': 'AGEC314', 'course_name': 'Marketing Agricultural and Food Products', 'reviews_count': 6, 'avg_rating': 4.1}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 4, 'avg_rating': 4.1}, {'course_id': 'AGEC414', 'course_name': 'Agribusiness and Food Market Analysis', 'reviews_count': 2, 'avg_rating': 4.1}, {'course_id': 'AGEC447', 'course_name': 'Food and Agricultural Price Analysis', 'reviews_count': 2, 'avg_rating': 4.1}]",['AGEC'],VGVhY2hlci0yMTk0Mzkw,Senarath Dharmasena,4.1,"[{'id': 'UmF0aW5nLTQwNjU4MzQw', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""Hard to reach so email the TA but he answers every class q. Genuinely cares about his students & answers questions, asks how we're feeling. If not an Econ fan, lectures can be boring, but NOT tests just group papers.Couple of mini presentations. VERY manageable and not too demanding. Choose your group & commodity wisely. Classes often end early.  \n"", 'overall_rating': 4.3, 'would_take_again': True, 'grade': 'A+', 'review_date': '2025-02-10T22:10:39', 'tags': ['Participation matters', 'Group projects', 'Clear grading criteria']}, {'id': 'UmF0aW5nLTM5NDA3MjI3', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': ""AGEC105 is one of the most infuriating classes I've taken. The concept of learning Ag Econ through the in-depth study of a singular commodity is cool, but a group project is not the way to do it. If you get bad group members, there's literally nothing you can do about it. Very few grades, as well."", 'overall_rating': 3.7, 'would_take_again': None, 'grade': 'Not sure yet', 'review_date': '2024-05-08T17:37:37', 'tags': ['Group projects', 'Graded by few things']}, {'id': 'UmF0aW5nLTM4NjgxNTYy', 'course_code': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'review_text': 'He was very sweet and a great prof! The whole semester was one group where you give a few presentations throughout the semester. It is a group project over a commodity and was done a lot outside of class. All the quizzes were group quizzes. Very easy class!!', 'overall_rating': 4.7, 'would_take_again': True, 'grade': 'A+', 'review_date': '2023-12-15T00:56:27', 'tags': ['Participation matters', 'Group projects', 'Beware of pop quizzes']}]",4,84.6
"{'teaching': ""The class itself isn't that bad as long as you do the practice questions in the textbook and show up you should be fine. She can be a bit difficult to understand sometimes but the amount of extra credit she gives makes up for it, pretty much as long as you turn in the extra credit you get a 100% on it which can really boost your grade. This class would have been way easier if the professor knew how to actually teach it."", 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.545}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 4, 'avg_rating': 2.8}, {'course_id': 'AGEC105', 'course_name': 'Introduction to Agricultural Economics', 'reviews_count': 2, 'avg_rating': 2.8}, {'course_id': 'AGEC', 'course_name': 'Course Title', 'reviews_count': 2, 'avg_rating': 2.8}]",['AGEC'],VGVhY2hlci0zMDg1MTc2,Kyoungin Choe,2.8,[],2,100.0
