course_id,tag
AALO285,Undergraduate
AALO289,Undergraduate
AALO485,Advanced
AALO489,Advanced
ACCT200,Undergraduate
ACCT209,Undergraduate
ACCT210,Undergraduate
ACCT229,Undergraduate
ACCT230,Undergraduate
ACCT321,Advanced
ACCT322,Advanced
ACCT327,Advanced
ACCT328,Advanced
ACCT329,Advanced
ACCT403,Advanced
ACCT405,Advanced
ACCT407,Advanced
ACCT408,Advanced
ACCT410,Advanced
ACCT421,Advanced
ACCT427,Advanced
ACCT430,Advanced
ACCT445,Advanced
ACCT447,Advanced
ACCT450,Advanced
ACCT484,Advanced
ACCT485,Advanced
ACCT489,Advanced
ACCT491,Advanced
AERO201,Undergraduate
AERO211,Undergraduate
AERO212,Undergraduate
AERO214,Undergraduate
AERO221,Undergraduate
AERO222,Undergraduate
AERO285,Undergraduate
AERO289,Undergraduate
AERO291,Undergraduate
AERO299,Undergraduate
AERO301,Advanced
AERO303,Advanced
AERO304,Advanced
AERO306,Advanced
AERO307,Advanced
AERO310,Advanced
AERO321,Advanced
AERO351,Advanced
AERO401,Advanced
AERO402,Advanced
AERO404,Advanced
AERO405,Advanced
AERO411,Advanced
AERO413,Advanced
AERO414,Advanced
AERO415,Advanced
AERO417,Advanced
AERO419,Advanced
AERO420,Advanced
AERO422,Advanced
AERO423,Advanced
AERO424,Advanced
AERO425,Advanced
AERO426,Advanced
AERO428,Advanced
AERO430,Advanced
AERO435,Advanced
AERO436,Advanced
AERO438,Advanced
AERO440,Advanced
AERO445,Advanced
AERO451,Advanced
AERO452,Advanced
AERO455,Advanced
AERO472,Advanced
AERO478,Advanced
AERO481,Advanced
AERO485,Advanced
AERO489,Advanced
AERO491,Advanced
AERS101,Undergraduate
AERS102,Undergraduate
AERS105,Undergraduate
AERS106,Undergraduate
AERS201,Undergraduate
AERS202,Undergraduate
AERS303,Advanced
AERS304,Advanced
AERS403,Advanced
AERS404,Advanced
AERS485,Advanced
AFST201,Undergraduate
AFST204,Undergraduate
AFST205,Undergraduate
AFST206,Undergraduate
AFST209,Undergraduate
AFST225,Undergraduate
AFST252,Undergraduate
AFST261,Undergraduate
AFST285,Undergraduate
AFST289,Undergraduate
AFST291,Undergraduate
AFST300,Advanced
AFST301,Advanced
AFST302,Advanced
AFST303,Advanced
