id,code,name,dept_id,credits,description,avg_gpa,difficulty,enrollment,rating
AALO285,AALO 285,Directed Studies,AALO,4,"Individual supervision of readings or assigned projects in an Asian Language, selected for each student individually; written or oral reports.",-1,Unknown,0,3.0
AALO289,AALO 289,Special Topics in...,AALO,4,Selected topics in an identified area of an Asian language. May be repeated for credit.,-1,Unknown,0,3.0
AALO485,AALO 485,Directed Studies,AALO,4,Individual supervision of readings or assigned projects selected for each student individually; written or oral reports.,-1,Unknown,0,3.0
AALO489,AALO 489,Special Topics in...,AALO,4,Selected topics in an identified area of an Asian language. May be repeated for credit.,-1,Unknown,0,3.0
ACCT200,ACCT 200,Opportunities in Accounting,ACCT,1,Introduction to career paths in accounting and assessment aptitudes and interests with respect to these career paths.,3.89,Light,0,3.5
ACCT209,ACCT 209,Survey of Accounting Principles,ACCT,3,"Accounting survey for non-business majors; non-technical accounting procedures, preparation and interpretation of financial statements and internal control. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis.",3.33,Moderate,1138,2.9
ACCT210,ACCT 210,Survey of Managerial and Cost Accounting Principles,ACCT,3,"A survey of managerial and cost accounting for non-business majors; accounting responsibility of the manager, job and process cost systems, budgeting, cost-volume-profit analysis for decision-making. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis.",3.65,Moderate,318,3.7
ACCT229,ACCT 229,Introductory Accounting,ACCT,3,"(ACCT 2301, 2401) Introductory Accounting.   Analysis, recording and reporting of business transactions; partnership and corporation accounting; analysis and use of financial statements.",2.74,Challenging,1043,3.9
ACCT230,ACCT 230,Introductory Accounting,ACCT,3,"(ACCT 2302, 2402) Introductory Accounting.   Continuation of ACCT 229 . Use of budgets; introduction to cost accounting; cost control techniques and methods of measuring performance.",2.98,Challenging,401,3.7
ACCT321,ACCT 321,Professional Development Seminar,ACCT,2,Exposure to professional issues of professional accounting practice using a workshop format.,4.0,Light,225,3.0
ACCT322,ACCT 322,Professional Development Seminar – BBA,ACCT,1,"Exposure to professional issues in the practice of accounting, including potential careers and employers.",3.84,Light,54,2.5
ACCT327,ACCT 327,Financial Reporting I,ACCT,3,Study of theoretical basis for financial accounting concepts and principles related to financial reporting; emphasizing income measurement and accounting for assets. BBA accounting majors must earn a minimum grade of C for graduation.,2.82,Challenging,694,4.4
ACCT328,ACCT 328,Financial Reporting II,ACCT,3,"Continued study of accounting concepts and principles related to reporting long-debt and owners' equity; including reporting issues of leases, retirement benefits, income taxes and international accounting standards.",3.34,Moderate,362,4.4
ACCT329,ACCT 329,Cost Management and Analysis,ACCT,3,"Theory, concepts and methods relating to use of information and design of systems to aid managers in planning, controlling, decision making, evaluating performance and reporting financial results.",3.84,Light,270,1.9
ACCT403,ACCT 403,Energy Accounting,ACCT,3,"Overview of the oil and gas industry and specialized financial accounting procedures associated with the industry; emphasis on accounting for exploration, development, production, depletion and amortization, joint operations, asset impairment and retirement obligation; includes reserve accounting/disclosure related to the above topics.",3.68,Moderate,0,3.0
ACCT405,ACCT 405,Income Tax,ACCT,3,Introduction to federal income tax legislation pertaining primarily to corporations and individuals.,3.14,Challenging,252,4.1
ACCT407,ACCT 407,Auditing,ACCT,3,"Introduction to auditing theory and procedures pertaining to financial statements, in the context of both external auditing, by certified public accountants, and internal auditing; preparation of working papers.",3.19,Challenging,96,3.9
ACCT408,ACCT 408,Internal Auditing,ACCT,3,Reading and evaluation of current theory and procedures used by internal auditors; selected case studies; statistical methods of forming auditing judgment.,3.79,Light,10,3.0
ACCT410,ACCT 410,Fraud Examination,ACCT,3,"Principles and methodologies of detecting and deterring fraud using accounting, auditing, and investigative skills; includes skimming, larceny, misappropriations, fraudulent statements, interviewing witnesses and support for litigation.",3.75,Light,23,3.0
ACCT421,ACCT 421,Critical Communication Skills for Accountants,ACCT,3,Development of oral and written communication skills necessary for successful careers in public and corporate accounting.,-1,Unknown,0,3.2
ACCT427,ACCT 427,Accounting and Financial Information Systems,ACCT,3,"Overall data flow systems emphasizing financial data and computerized systems, for accounting majors; flow and logic concepts, developing meaningful control concepts and data reporting techniques.",3.36,Moderate,266,3.9
ACCT430,ACCT 430,Global Immersion in Accounting,ACCT,3,Combination of classroom work in the spring and a field trip to the selected country in summer; introduction to international opportunities within the public accounting firms; meet with former students to gain a local and corporate view of business in the selected country. May be taken two times for credit.,-1,Unknown,0,3.0
ACCT445,ACCT 445,International Accounting,ACCT,3,Introduction and examination of accounting issues unique to multinational enterprises and international business activity; only ACCT 445/IBUS 445 sections count for the accounting coursework requirements for the CPA exam.,3.96,Light,70,3.0
ACCT447,ACCT 447,Financial Statement Analysis,ACCT,3,"Development of an analytical approach to financial statements, integrating relevant finance and accounting concepts and principles; current topics in financial analysis.",3.6,Moderate,0,1.0
ACCT450,ACCT 450,Accounting Ethics,ACCT,3,"Integration of ethical reasoning, objectivity, independence and other core values into the development of a professional accountant; critical analysis of the ethical lapses which have occurred in business and the accounting profession; exploring ways to integrate ethical behavior into professional life.",3.36,Moderate,0,3.5
ACCT484,ACCT 484,Accounting Internship,ACCT,3,A directed internship in an organization to provide on-the-job training under the supervision of accounting professionals in organizational settings appropriate to the student's professional objectives. May be taken for credit up to three hours. Must be taken on a satisfactory/unsatisfactory basis.,-1,Unknown,0,3.0
ACCT485,ACCT 485,Directed Studies,ACCT,3,Directed study of selected problems in the area of accounting not covered in other courses.,-1,Unknown,0,3.0
ACCT489,ACCT 489,Special Topics in...,ACCT,4,Selected topics in an identified area of accounting. May be repeated for credit.,3.95,Light,253,3.2
ACCT491,ACCT 491,Research,ACCT,4,Research conducted under the direction of an accounting faculty member in Mays Business School or a faculty member in the Office of Undergraduate Research. May be repeated one time for credit.,-1,Unknown,0,3.0
AERO201,AERO 201,Introduction to Flight,AERO,3,"Standard atmosphere, basic aerodynamic theory, airfoil and wing descriptions, introduction to orbital mechanics, elementary aerospace vehicle performance, and experiential introduction to aerospace engineering.",2.99,Challenging,42,3.9
AERO211,AERO 211,Aerospace Engineering Mechanics,AERO,3,"Fundamentals of Newtonian mechanics; static equilibrium of particles, system of particles and rigid bodies; free body diagrams; rectilinear and curvilinear motion of particles; linear momentum; angular momentum; friction; plane motion of rigid bodies; beams and trusses.",3.23,Challenging,37,4.3
AERO212,AERO 212,Introduction to Aerothermodynamics,AERO,3,"Study of thermodynamic properties and processes, heat and work, first and second laws of thermodynamics, ideal cycles for power and refrigeration applications; emphasis on the Brayton jet-engine cycle.",2.87,Challenging,47,3.3
AERO214,AERO 214,Introduction to Aerospace Mechanics of Materials,AERO,3,"Fundamental concepts for deformable bodies (conservation of linear and angular momentum, kinematics and thermoelasticity); notions of stress and strain and illustrative examples for engineering applications; introduction to experimental methods and reporting, instrumentation and uncertainty analysis; measurement of elastic and thermal material properties.",3.24,Challenging,182,3.0
AERO221,AERO 221,Analytical Methods for Aerospace Engineering,AERO,3,"Matrix operations, Gaussian elimination, linear transformations, coordinate transformations, eigenvalues, eigenvectors, diagonalization, including programming and computer implementation, applied to solid mechanics, fluid mechanics, dynamics and control of air and space vehicles.",-1,Unknown,0,3.3
