id,code,name,description,avg_gpa,rating
aalo,AALO,AALO - Arabic & Asian Language,Arabic & Asian Language,3.0,3.0
acct,ACCT,ACCT - Accounting,Accounting,3.27,3.7
aero,AERO,AERO - Aerospace Engineering,Aerospace Engineering,3.22,3.4
aers,AERS,AERS - Aerospace Studies,Aerospace Studies,3.97,4.7
afst,AFST,AFST - Africana Studies,Africana Studies,3.6,4.0
agcj,AGCJ,AGCJ - Ag Comm & Journalism,Ag Comm & Journalism,3.64,3.7
agec,AGEC,AGEC - Agricultural Economics,Agricultural Economics,3.33,3.4
agls,AGLS,AGLS - Ag & Life Sciences,Ag & Life Sciences,3.54,4.5
agsc,AGSC,AGSC - Agricultural Science,Agricultural Science,3.66,4.3
agsm,AGSM,AGSM - Agricultrl Systems Mgmt,Agricultrl Systems Mgmt,3.33,4.0
alec,ALEC,"ALEC - Ag Leadrshp, Ed & Comm","Ag Leadrshp, Ed & Comm",3.6,3.0
aled,ALED,ALED - Ag Leadership & Dev,Ag Leadership & Dev,3.61,3.7
ansc,ANSC,ANSC - Animal Science,Animal Science,3.62,4.1
anth,ANTH,ANTH - Anthropology,Anthropology,3.41,3.8
arab,ARAB,ARAB - Arabic,Arabic,3.91,4.9
arch,ARCH,ARCH - Architecture,Architecture,3.6,3.9
aren,AREN,AREN - Architectural Engr,Architectural Engr,3.23,3.9
arsc,ARSC,ARSC - Arts & Sciences,Arts & Sciences,3.9,4.4
arts,ARTS,ARTS - Art,Art,3.0,3.4
ascc,ASCC,ASCC - Academic Success Center,Academic Success Center,3.0,4.5
asia,ASIA,ASIA - Asian Studies,Asian Studies,3.83,4.1
astr,ASTR,ASTR - Astronomy,Astronomy,3.49,3.6
atmo,ATMO,ATMO - Atmospheric Sciences,Atmospheric Sciences,3.27,4.1
attr,ATTR,ATTR - Athletic Training,Athletic Training,3.93,3.7
baen,BAEN,BAEN - Biological & Ag Engr,Biological & Ag Engr,3.34,3.4
befb,BEFB,BEFB - Bilingual Ed Field Based,Bilingual Ed Field Based,3.89,1.0
besc,BESC,BESC - Bioenvironmental Sci,Bioenvironmental Sci,3.28,3.7
bich,BICH,BICH - Biochemistry,Biochemistry,2.77,2.9
bims,BIMS,BIMS - Biomedical Science,Biomedical Science,3.65,3.9
biol,BIOL,BIOL - Biology,Biology,3.22,3.5
bmen,BMEN,BMEN - Biomedical Engineering,Biomedical Engineering,3.72,3.2
botn,BOTN,BOTN - Botany,Botany,3.0,3.0
bush,BUSH,BUSH - Geo Bush School of Gov,Geo Bush School of Gov,3.62,4.7
busn,BUSN,BUSN - Mays Business School,Mays Business School,3.75,3.7
carc,CARC,CARC - College of Architecture,College of Architecture,3.77,3.5
cehd,CEHD,CEHD - Coll of Ed & Human Dev,Coll of Ed & Human Dev,3.0,3.0
chem,CHEM,CHEM - Chemistry,Chemistry,3.06,3.5
chen,CHEN,CHEN - Chemical Engineering,Chemical Engineering,3.35,3.3
chin,CHIN,CHIN - Chinese,Chinese,3.62,4.1
clas,CLAS,CLAS - Classics,Classics,3.24,4.7
clen,CLEN,CLEN - College of Engineering,College of Engineering,3.0,4.0
comm,COMM,COMM - Communication,Communication,3.5,3.9
cosc,COSC,COSC - Construction Science,Construction Science,3.42,3.8
csce,CSCE,CSCE - Computer Sci & Engr,Computer Sci & Engr,3.52,3.3
culn,CULN,CULN - Culinology,Culinology,3.0,3.0
cven,CVEN,CVEN - Civil Engineering,Civil Engineering,3.22,3.5
cybr,CYBR,CYBR - Cybersecurity,Cybersecurity,3.96,4.6
daen,DAEN,DAEN - Data Engineering,Data Engineering,3.24,3.2
dasc,DASC,DASC - Dairy Science,Dairy Science,3.0,3.5
dced,DCED,DCED - Dance Education,Dance Education,3.0,4.2
ddhs,DDHS,DDHS - Dental Hygiene,Dental Hygiene,3.0,3.0
dive,DIVE,DIVE - Diving Tech and Methods,Diving Tech and Methods,3.0,3.0
eccb,ECCB,ECCB - Eco & Conservation Biol,Eco & Conservation Biol,3.23,3.6
ecde,ECDE,ECDE - Early Chldhd Devl & Educ,Early Chldhd Devl & Educ,3.0,3.0
ecen,ECEN,ECEN - Electrical & Comp Engr,Electrical & Comp Engr,3.19,3.5
ecfb,ECFB,ECFB - Early Chldhd Ed Fld Based,Early Chldhd Ed Fld Based,3.0,3.0
eche,ECHE,ECHE - Early Chldhd Ed Fld Based,Early Chldhd Ed Fld Based,3.0,3.0
ecmt,ECMT,ECMT - Econometrics,Econometrics,3.42,4.1
econ,ECON,ECON - Economics,Economics,3.06,3.3
edci,EDCI,EDCI - Educ Curriculum & Dev,Educ Curriculum & Dev,3.78,3.8
ehrd,EHRD,EHRD - Ed Human Res Develop,Ed Human Res Develop,3.84,3.8
endg,ENDG,ENDG - Engr Design Graphics,Engr Design Graphics,3.0,3.1
ends,ENDS,ENDS - Environmental Design,Environmental Design,3.76,3.3
engl,ENGL,ENGL - English,English,3.59,4.0
engr,ENGR,ENGR - Engineering,Engineering,3.21,3.5
enss,ENSS,ENSS - Envion Systems Science,Envion Systems Science,3.0,4.7
enst,ENST,ENST - Environmental Studies,Environmental Studies,3.0,3.0
entc,ENTC,ENTC - Engineering Technology,Engineering Technology,3.75,2.9
ento,ENTO,ENTO - Entomology,Entomology,3.5,3.8
epfb,EPFB,EPFB - Educ Psyc Field Based,Educ Psyc Field Based,3.86,4.9
epsy,EPSY,EPSY - Educational Psychology,Educational Psychology,3.67,4.6
eset,ESET,ESET - Electronic Sys Eng Tech,Electronic Sys Eng Tech,3.21,3.5
euro,EURO,EURO - European Studies,European Studies,3.0,3.0
even,EVEN,EVEN - Environmental Engr,Environmental Engr,3.6,3.7
film,FILM,FILM - Film Studies,Film Studies,3.0,3.9
finc,FINC,FINC - Finance,Finance,3.23,3.3
finp,FINP,FINP - Financial Planning,Financial Planning,3.58,4.7
fivs,FIVS,FIVS - Forensic & Inv Science,Forensic & Inv Science,3.52,3.8
fren,FREN,FREN - French,French,3.25,4.0
fsci,FSCI,FSCI - Foundational Sciences,Foundational Sciences,3.0,3.0
