professor_id,dept_id
VGVhY2hlci0yNzY3Njg5,GLST
VGVhY2hlci0yMzExOTM4,MATH
VGVhY2hlci0yOTUwNjMy,CHEM
VGVhY2hlci0yMzY0MDM2,COMM
VGVhY2hlci0yMzI0NzU0,ESPY
VGVhY2hlci0xMDE1NDQ3,MATG
VGVhY2hlci0yMDM0Mjg2,ART
VGVhY2hlci0xNzU0Mjc0,AGEC
VGVhY2hlci0xMTU3NzQ1,ANTH
VGVhY2hlci0yMTk4NzQw,VTPP
VGVhY2hlci0yNjYxNzAy,PHLT
VGVhY2hlci0yNDQzNzEw,FINC
VGVhY2hlci0yMDkyNzI3,MEEN
VGVhY2hlci0yNjk4NTA2,EDCI
VGVhY2hlci0yMDE0OTk0,SOCI
VGVhY2hlci0xNjYxMjQ3,ENGL
VGVhY2hlci02MDg2MTg=,HIST
VGVhY2hlci0yNjM1OTI4,BIOL
VGVhY2hlci0xNDAxMTUz,INFO
VGVhY2hlci0yMDA0MTcz,POLS
VGVhY2hlci0yMTM3Mjkz,SOCI
VGVhY2hlci0yNTg0MzM0,RDNG
VGVhY2hlci0xMTI4MjE3,PBSI
VGVhY2hlci0yNDYzMzM2,ENG
VGVhY2hlci0yMDA5NzA5,INST
VGVhY2hlci0yMjIwODU2,MEEN
VGVhY2hlci0xOTUyMzE1,ARCHITECTURE
VGVhY2hlci0yOTUwMzMz,ENGINEERING
VGVhY2hlci0yNjM2NDEw,PSYC
VGVhY2hlci0yNjkxMDE3,PHLT
VGVhY2hlci0yNTM4Mjgz,COMM
VGVhY2hlci0xMjc4NjAy,GEOG
VGVhY2hlci0xNDExNTU1,POLS
VGVhY2hlci0yNTU0NTE1,CSCE
VGVhY2hlci0yNDg3OTY0,SOCI
VGVhY2hlci0yMTY0ODc2,ENGL
VGVhY2hlci0yMjIzNDQ2,STATS
VGVhY2hlci0zMTUzNTYz,ENGL
VGVhY2hlci0yOTk1OTgw,FIVS
VGVhY2hlci0xOTUxOTEy,NUEN
VGVhY2hlci0yNjI3NDM5,VIBS
VGVhY2hlci0yNzIwMzE3,MATH
VGVhY2hlci0xMjU4MzE5,MATH
VGVhY2hlci0yODQ4OTc2,BIOL
VGVhY2hlci0xOTQ1MDY3,VIBS
VGVhY2hlci0yMTg0MzMw,ENGL
VGVhY2hlci0yOTA3MzU0,SPMT
VGVhY2hlci0yMjAxOTYx,HLTH
VGVhY2hlci0yODQzOTM0,ANSC
VGVhY2hlci0yMTkzMzc0,INST
VGVhY2hlci0xOTc3Mjk3,PHYS
VGVhY2hlci0yNzA5Mjkz,CSCE
VGVhY2hlci0yNTM0OTM3,CHEM
VGVhY2hlci0yODc1Nzg5,MMET
VGVhY2hlci0yMTk1NzM3,SPAN
VGVhY2hlci0xOTQxMjgw,ENGR
VGVhY2hlci0yMjIwOTg5,ECEN
VGVhY2hlci0xMDIwMTM2,STAT
VGVhY2hlci0yMDg4OTgy,CRJ
VGVhY2hlci0yMTcyNDAz,SPAN
VGVhY2hlci0yMjEyNTU0,EDCI
VGVhY2hlci0yODQwMDAx,BIOLOGY
VGVhY2hlci0yMzk5OTA4,MATH
VGVhY2hlci0yNjcyOTU4,ECEN
VGVhY2hlci01NDcyMTQ=,HISTORY
VGVhY2hlci0yMTk4ODAy,SPMT
VGVhY2hlci0zMDAxNzU3,ALED
VGVhY2hlci0yNTU2NzA0,CSCE
VGVhY2hlci0yOTUxODAw,STAT
VGVhY2hlci0yODI0NTc0,HISTORY
VGVhY2hlci0yMjk2NjYy,GEOS
VGVhY2hlci05NzY0ODU=,ECONDVLP
VGVhY2hlci0yMzUzMzYy,ECMT
VGVhY2hlci0yMjIzOTc5,ENDS
VGVhY2hlci0yNTg0NTk0,ANSC
VGVhY2hlci0yOTI2NzIw,COMM
VGVhY2hlci03NTMyOTg=,BUSN
VGVhY2hlci0yMTY1MDI0,KINE
VGVhY2hlci0xMzI5NzQw,WFSC
VGVhY2hlci0yMzg4MDAw,KINE
VGVhY2hlci0yOTcxNDE1,INST
VGVhY2hlci0yMjIyOTI2,ENGL
VGVhY2hlci0yNjk0ODUw,PHLT
VGVhY2hlci0xNzE1OTI2,HISTORY
VGVhY2hlci0yMTc0NTE4,GEOS
VGVhY2hlci0yNTMzMDY0,ECEN
VGVhY2hlci0yODc2ODMz,POLS
VGVhY2hlci0yMjM2Njk5,ECEN
VGVhY2hlci0xMTAxNjE3,AGEC
VGVhY2hlci0yNDcyNjY4,FSTC
VGVhY2hlci0yNTkwNTYy,COMM
VGVhY2hlci01NTEwMDg=,EDCI
VGVhY2hlci0yMjcxODgw,ECON
VGVhY2hlci0zMDYzMTM5,AGSM
VGVhY2hlci0yODM4NDgx,ANTH
VGVhY2hlci0yMDcyNjA2,BIOL
VGVhY2hlci0xMzA0ODgz,EXASTENTALISM
