term_code,term_desc,start_date,end_date,academic_year
202541,Full Yr Professional 2025-2026,2025-05-05T05:00:00,2026-05-03T05:00:00,2025
202615,Spring 2026 - Half Year Term,2026-01-01T06:00:00,2026-07-03T05:00:00,2025
202613,Spring 2026 - Qatar,2026-01-04T06:00:00,2026-04-29T05:00:00,2025
202611,Spring 2026 - College Station,2026-01-12T06:00:00,2026-05-05T05:00:00,2025
202612,Spring 2026 - Galveston,2026-01-12T06:00:00,2026-05-05T05:00:00,2025
202641,Full Yr Professional 2026-2027,2026-05-04T05:00:00,2027-05-10T05:00:00,2026
202621,Summer 2026 - College Station,2026-05-26T05:00:00,2026-08-06T05:00:00,2025
202622,Summer 2026 - Galveston,2026-06-01T05:00:00,2026-08-12T05:00:00,2025
202635,Fall 2026 - Half Year Term,2026-07-06T05:00:00,2026-12-31T06:00:00,2026
202631,Fall 2026 - College Station,2026-08-24T05:00:00,2026-12-10T06:00:00,2026
202632,Fall 2026 - Galveston,2026-08-24T05:00:00,2026-12-10T06:00:00,2026
