source_name,event_count,food_event_count,top_categories
libraries,142,2,"academic:9, food:2, sports:1"
feeds:feed_4,111,0,sports:110
ers_tamu,102,9,"academic:22, sports:20, social:12"
business,94,2,"social:8, academic:7, sports:6"
feeds:feed_1,74,0,
feeds:feed_12,28,1,"academic:5, social:4, food:1"
transport_rss:feed_3,26,0,advocacy:20
feeds:feed_19,24,7,"academic:14, food:7, advocacy:2"
feeds:feed_5,17,0,academic:8
career_center,15,0,"academic:11, health_wellness:1"
feeds:feed_11,15,0,"academic:11, health_wellness:1"
health,11,3,"academic:11, food:3, social:2"
graduate_studies,4,2,"food:2, entertainment:2, religion:1"
getinvolved_student_life,1,0,
feeds:feed_14,1,0,"social:1, academic:1"
