name,category,address,city,state,zip_code,phone,website,email,distance_miles,business_size,source,area_label,latitude,longitude,matched_place_id,matched_place_confidence,slug
Minuti Coffee,Cafe,,College Station,TX,,,,,1.8,Local Independent/Franchise,OpenStreetMap,College Station,30.6382462,-96.3164077,osm:node:8326278871,0.84,minuti-coffee
Cos-McFerrin Center for Aggie Basketball,Sports Centre,,College Station,TX,,,,,1.07,Local Independent/Franchise,OpenStreetMap,College Station,30.6054448,-96.3456785,osm:node:8810815088,0.84,cos-mcferrin-center-for-aggie-basketball
What's the Buzz Coffee,Cafe,1600 Texas Avenue South,College Station,TX,77840,,https://whatsthebuzzcoffee.com/,sales@whatsthebuzzcoffee.com,1.02,Local Independent/Franchise,OpenStreetMap,College Station,30.6152822,-96.319747,osm:node:9170481041,1.0,what-s-the-buzz-coffee
Shelia's Homestyle Chicken and More,Restaurant,3404 State Highway 21 East,Bryan,TX,77808,,,,5.62,Local Independent/Franchise,OpenStreetMap,Bryan,30.6978615,-96.3580486,osm:node:9357052967,1.0,shelia-s-homestyle-chicken-and-more
Sushi Masa,Restaurant,4401 Texas Avenue South,Bryan,TX,,,,,0.92,Local Independent/Franchise,OpenStreetMap,Bryan,30.631904,-96.3388159,osm:way:408487703,1.0,sushi-masa
Premier Cinemas,Cinema,950 North Earl Rudder Freeway,Bryan,TX,77808,,,,3.95,Local Independent/Franchise,OpenStreetMap,Bryan,30.6759118,-96.3365855,osm:way:408487717,1.0,premier-cinemas
Brazos Brim Hat Bar,Clothes,850 William D Fitch Parkway,College Station,TX,77845,,,,6.26,Local Independent/Franchise,OpenStreetMap,College Station,30.5547397,-96.2620507,osm:way:409367377,1.0,brazos-brim-hat-bar
Stone,Fitness Centre,777 Graham Road,College Station,TX,77845,,https://stonecoclimbing.com/,info@stonecoclimbing.com,4.15,Local Independent/Franchise,OpenStreetMap,College Station,30.5702471,-96.2953489,osm:node:10563019010,1.0,stone
The Tap,Bar,,College Station,TX,,,,,1.47,Local Independent/Franchise,OpenStreetMap,College Station,30.622083,-96.3121183,osm:way:411783988,0.84,the-tap
The Dry Bean,Bar,,College Station,TX,77840,,,,0.6,Local Independent/Franchise,OpenStreetMap,College Station,30.6178573,-96.3464848,osm:way:413449889,0.84,the-dry-bean
Bravos Valley Arts Council,Arts Centre,,College Station,TX,,,,,1.87,Local Independent/Franchise,OpenStreetMap,College Station,30.6150527,-96.3053593,osm:way:414542387,0.84,bravos-valley-arts-council
Frittella,Restaurant,3901 Texas Avenue South,Bryan,TX,,,,,1.24,Local Independent/Franchise,OpenStreetMap,Bryan,30.6354935,-96.3436131,osm:way:414552006,1.0,frittella
Brazos Running Co,Sports,1037 University Drive,College Station,TX,77840,(979) 485-9830,,,0.45,Local Independent/Franchise,OpenStreetMap,Northgate,30.6244433,-96.3400625,osm:node:10687604933,1.0,brazos-running-co
Salata,Restaurant,,College Station,TX,,,,,0.3,Local Independent/Franchise,OpenStreetMap,College Station,30.6227872,-96.3379878,osm:node:10687737191,0.84,salata
Amico Nave,Restaurant,,College Station,TX,,,,,1.9,Local Independent/Franchise,OpenStreetMap,College Station,30.6401588,-96.3565028,osm:way:414552023,0.84,amico-nave
Shake Smart,Restaurant,,College Station,TX,,,,,0.3,Local Independent/Franchise,OpenStreetMap,College Station,30.622866,-96.3381302,osm:node:10687737192,0.84,shake-smart
Houston Street Subs,Fast Food,,College Station,TX,,,,,0.29,Local Independent/Franchise,OpenStreetMap,College Station,30.6227465,-96.3379326,osm:node:10687737194,0.84,houston-street-subs
Kettle Restaurant,Restaurant,2712 Texas Avenue South,Bryan,TX,77802,,,,2.16,Local Independent/Franchise,OpenStreetMap,Bryan,30.6451828,-96.3558293,osm:way:414552073,1.0,kettle-restaurant
Costco Food Court,Fast Food,,College Station,TX,,(979) 321-6572,,,5.6,Local Independent/Franchise,OpenStreetMap,College Station,30.5671424,-96.2637514,osm:node:10702638846,0.84,costco-food-court
Babe's Donuts,Pastry,,College Station,TX,,,,,1.63,Local Independent/Franchise,OpenStreetMap,College Station,30.6398944,-96.3487201,osm:way:414552077,0.84,babe-s-donuts
Madden's Casual Gourmet,Restaurant,,College Station,TX,,,,,4.36,Local Independent/Franchise,OpenStreetMap,College Station,30.6727293,-96.3745262,osm:node:1997919254,0.84,madden-s-casual-gourmet
Kung Fu Tea,Tea,,College Station,TX,,,,,0.63,Local Independent/Franchise,OpenStreetMap,College Station,30.6260438,-96.3302631,osm:node:10713388867,0.84,kung-fu-tea
Aerofit,Sports Centre,,College Station,TX,,,,,3.89,Local Independent/Franchise,OpenStreetMap,College Station,30.5814725,-96.2875219,osm:way:415387917,0.84,aerofit
Shipwreck,Restaurant,,College Station,TX,,,,,1.96,Local Independent/Franchise,OpenStreetMap,College Station,30.6409498,-96.3568257,osm:way:416769659,0.84,shipwreck
Bryan Indoor Tennis Courts,Sports Centre,,College Station,TX,,,,,4.36,Local Independent/Franchise,OpenStreetMap,College Station,30.6818246,-96.3336554,osm:way:416769760,0.84,bryan-indoor-tennis-courts
Old Town Marketplace,Marketplace,,College Station,TX,,,,,4.36,Local Independent/Franchise,OpenStreetMap,College Station,30.6725886,-96.3745074,osm:node:1997919233,0.84,old-town-marketplace
OMG Seafood,Restaurant,3227 Texas Avenue South,College Station,TX,,(979) 704-6823,,,1.75,Local Independent/Franchise,OpenStreetMap,College Station,30.641157,-96.3501581,osm:node:10720245865,1.0,omg-seafood
La Jerezana Taqueria,Restaurant,1002 Texas Avenue South,Bryan,TX,77803,(979) 575-7166,,,3.75,Local Independent/Franchise,OpenStreetMap,Bryan,30.6634197,-96.3722491,osm:way:416790327,1.0,la-jerezana-taqueria
The Proudest Monkey,Bar,,College Station,TX,,,,,4.37,Local Independent/Franchise,OpenStreetMap,College Station,30.6733326,-96.3736517,osm:node:1997919244,0.84,the-proudest-monkey
Doglegg Golf,Amusement Arcade,2551 Texas Avenue South,College Station,TX,77840,(979) 317-4100,https://doglegg-golf.com/,golf@doglegg-golf.com,1.99,Local Independent/Franchise,"OpenStreetMap, BCS Chamber",College Station,30.6059731,-96.3064959,osm:node:10724352193,1.0,doglegg-golf
40 Tempura Japanese Fusion,Restaurant,2551 Texas Avenue South,College Station,TX,77840,(979) 703-4034,,,1.98,Local Independent/Franchise,OpenStreetMap,College Station,30.606082,-96.3066125,osm:node:10724352195,1.0,40-tempura-japanese-fusion
Acme Glass,Marketplace,,College Station,TX,,,,,4.29,Local Independent/Franchise,OpenStreetMap,College Station,30.6720381,-96.3733201,osm:node:1997919235,0.84,acme-glass
Fusion Peru,Restaurant,2501 Texas Avenue South,College Station,TX,77840,(979) 676-2603,,,1.95,Local Independent/Franchise,OpenStreetMap,College Station,30.6073224,-96.3065526,osm:node:10724563960,1.0,fusion-peru
Sakura,Restaurant,713 University Drive East,College Station,TX,77840,(979) 450-7784,https://sakuratokyotx.com/,sakuratokyo713@gmail.com,1.25,Local Independent/Franchise,OpenStreetMap,Northgate,30.6352816,-96.3282961,osm:way:496808598,1.0,sakura
Taco Cabana,Fast Food,,Bryan,TX,,,,,2.93,Local Independent/Franchise,OpenStreetMap,Bryan,30.6606692,-96.3298776,osm:way:496810572,0.84,taco-cabana
Good Time Charley's,Restaurant,,College Station,TX,,,,,4.33,Local Independent/Franchise,OpenStreetMap,College Station,30.6727441,-96.3734113,osm:node:1997919237,0.84,good-time-charley-s
Snooze,Restaurant,Tarrow Street East,College Station,TX,,,,,1.23,Local Independent/Franchise,OpenStreetMap,College Station,30.6348598,-96.3276354,osm:node:10745004743,1.0,snooze
Bahama Buck's,Fast Food,901 William D. Fitch Parkway,College Station,TX,77845,,,,6.13,Local Independent/Franchise,OpenStreetMap,College Station,30.5554188,-96.2642171,osm:way:544924401,1.0,bahama-buck-s
Castlegate II Event Center,Events Venue,,College Station,TX,,,,,6.0,Local Independent/Franchise,OpenStreetMap,College Station,30.5434408,-96.286226,osm:node:10899658423,0.84,castlegate-ii-event-center
Bush's Chicken,Fast Food,,College Station,TX,,,,,5.7,Local Independent/Franchise,OpenStreetMap,College Station,30.5638311,-96.2648283,osm:way:566380177,0.84,bush-s-chicken
Downtown Uncorked,Bar,,College Station,TX,,,,,4.43,Local Independent/Franchise,OpenStreetMap,College Station,30.6739889,-96.3743626,osm:node:1997883183,0.84,downtown-uncorked
Castlegate II Swimming pool,Events Venue,,College Station,TX,,,,,6.0,Local Independent/Franchise,OpenStreetMap,College Station,30.5430813,-96.2870111,osm:node:10899665299,0.84,castlegate-ii-swimming-pool
Papa Perez,Restaurant,,College Station,TX,,,,,4.33,Local Independent/Franchise,OpenStreetMap,College Station,30.6725748,-96.3737081,osm:node:1997919267,0.84,papa-perez
Commons Dining Hall,Fast Food,,College Station,TX,,,,,0.22,Local Independent/Franchise,OpenStreetMap,College Station,30.615787327676124,-96.33632240064732,osm:node:11033604440,0.84,commons-dining-hall
Chuy's,Restaurant,1512 Harvey Road,College Station,TX,77840,,,,2.09,Local Independent/Franchise,OpenStreetMap,College Station,30.6276296,-96.3028666,osm:way:632658189,1.0,chuy-s
Taco Casa,Fast Food,616 North Earl Rudder Freeway,Bryan,TX,77802,,,,3.32,Local Independent/Franchise,OpenStreetMap,Bryan,30.6661598,-96.3277691,osm:way:660708406,1.0,taco-casa
Blue Baker,Restaurant,800 University Drive East,College Station,TX,77840,(979) 268-3096,,,1.23,Local Independent/Franchise,OpenStreetMap,Northgate,30.6341505,-96.3262018,osm:node:4099977168,1.0,blue-baker
Vietnoodle Pho and More,Restaurant,2218 Texas Avenue South,College Station,TX,77840,,,,1.51,Local Independent/Franchise,OpenStreetMap,College Station,30.6098881,-96.3132386,osm:node:13387373644,1.0,vietnoodle-pho-and-more
What's the Buzz,Cafe,2307 Texas Avenue South,College Station,TX,77840,(979) 485-2825,https://whatsthebuzzcoffee.com/,sales@whatsthebuzzcoffee.com,1.52,Local Independent/Franchise,OpenStreetMap,College Station,30.6108902,-96.3125918,osm:node:13391858380,1.0,what-s-the-buzz
