source_name,event_count
feeds:feed_17,187
libraries,146
feeds:feed_4,103
business,102
rec_sports,85
feeds:feed_1,75
career_fairs,48
feeds:feed_12,29
feeds:feed_19,26
transport_rss:feed_3,26
feeds:feed_5,19
career_center,18
feeds:feed_11,16
health,10
rec_intramurals:feed_0,10
feeds:feed_15,6
graduate_studies,4
feeds:feed_14,2
mays_undergrad_events,1
mays_career_center,1
mays_departments,1
getinvolved_student_life,1
feeds:feed_16,1
feeds:feed_10,1
research,1
bush_school,1
materials_seminars,1
rec_intramurals,1
